Date,Open,High,Low,Close,Adj Close,Volume
2018-05-17,103.089996,103.160004,101.970001,102.080002,95.675705,104800
2018-05-18,103.410004,104.160004,103.209999,103.360001,96.875404,153500
2018-05-21,104.699997,104.809998,104.019997,104.040001,97.512741,176000
2018-05-22,104.459999,104.879997,103.879997,103.930000,97.409637,169200
2018-05-23,99.040001,100.269997,98.349998,99.779999,93.520004,441300
2018-05-24,94.879997,94.989998,93.599998,94.220001,94.220001,254400
2018-05-25,92.360001,92.519997,91.470001,92.250000,92.250000,252000
2018-05-29,92.419998,92.870003,91.430000,92.029999,92.029999,183900
2018-05-30,92.980003,94.879997,92.449997,94.570000,94.570000,166200
2018-05-31,97.739998,97.849998,96.870003,97.449997,97.449997,408300
2018-06-01,97.339996,97.879997,96.970001,97.180000,97.180000,135400
2018-06-04,98.000000,98.500000,95.809998,96.620003,96.620003,328500
2018-06-05,94.559998,96.120003,94.559998,95.980003,95.980003,263500
2018-06-06,95.769997,96.269997,95.230003,96.199997,96.199997,146500
2018-06-07,96.720001,97.430000,96.629997,97.230003,97.230003,161300
2018-06-08,95.360001,95.760002,94.779999,95.489998,95.489998,113700
2018-06-11,95.419998,96.110001,94.430000,95.790001,95.790001,158000
2018-06-12,95.489998,96.129997,95.089996,95.360001,95.360001,84900
2018-06-13,95.260002,95.260002,94.419998,94.500000,94.500000,103500
2018-06-14,93.639999,93.639999,93.080002,93.139999,93.139999,164000
2018-06-15,92.489998,92.489998,90.190002,90.599998,90.599998,162200
